2022-10-20 02:24:32.578 |         b6fb2040 | 8009 | 3 |                0 | right=1111111110001111111111111110001111111111111111000111111111111111000011111111111111100011111111111111
2022-10-20 02:24:32.578 |         b6fb2040 | 8009 | 3 |            106b2 | duty_left =  75, count_left =   3, duty_right =  75, count_right =   5
2022-10-20 02:24:32.578 |         b6fb2040 | 8009 | 3 |            106b3 | ----------------------------------------------------------------------
2022-10-20 02:24:32.578 |         b6fb2040 | 8009 | 3 |            106b4 | duty_left =  75, count_left =   3, duty_right =  75, count_right =   5

2022-10-20 02:24:32.691 |         b6fb2040 | 8009 | 3 |                0 | left =0011111111111111000000000000000000000011111111111100000000000000000011111111111111000000111110001111
2022-10-20 02:24:32.691 |         b6fb2040 | 8009 | 3 |                0 | right=0111111111111110000111111111111110000111111111111100011111111111100011111111111000111111111111001111
2022-10-20 02:24:32.691 |         b6fb2040 | 8009 | 3 |            106b2 | duty_left = 100, count_left =   5, duty_right = 100, count_right =   7
2022-10-20 02:24:32.800 |         b6fb2040 | 8009 | 3 |                0 | left =1111111110000000000000001111111111110000000000000001111111111100000000000000000111111111111000000000
2022-10-20 02:24:32.800 |         b6fb2040 | 8009 | 3 |                0 | right=1111111100111111111111001111111111110011111111111001111111111110111111111111001111111111100111111111
2022-10-20 02:24:32.800 |         b6fb2040 | 8009 | 3 |            106b2 | duty_left = 100, count_left =   4, duty_right = 100, count_right =   7
2022-10-20 02:24:32.909 |         b6fb2040 | 8009 | 3 |                0 | left =0000011111111111110000000000000011111111111100000000000000001111111111111000000000000000111111111110
2022-10-20 02:24:32.909 |         b6fb2040 | 8009 | 3 |                0 | right=1100111111111110011111111111100111111111111001111111111100111111111111001111111111100111111111111001
2022-10-20 02:24:32.909 |         b6fb2040 | 8009 | 3 |            106b2 | duty_left = 100, count_left =   4, duty_right = 100, count_right =   8
2022-10-20 02:24:33.018 |         b6fb2040 | 8009 | 3 |                0 | left =0000000000000011111111111000000000000000001111111111110000000000000011111111111110000000000000111111
2022-10-20 02:24:33.018 |         b6fb2040 | 8009 | 3 |                0 | right=1111111111100111111111110011111111111100111111111110011111111111001111111111110011111111111001111111
2022-10-20 02:24:33.018 |         b6fb2040 | 8009 | 3 |            106b2 | duty_left = 100, count_left =   4, duty_right = 100, count_right =   7
2022-10-20 02:24:33.018 |         b6fb2040 | 8009 | 3 |            106b3 | ----------------------------------------------------------------------
2022-10-20 02:24:33.018 |         b6fb2040 | 8009 | 3 |            106b4 | duty_left = 100, count_left =   4, duty_right = 100, count_right =   7
